work_year,salary_in_usd,salary_category,salary_quartile,salary_quartile_encoded,remote_type,PC1,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT,remote_type__Fully,remote_type__Hybrid,remote_type__On-site
2024,150000,High,Q3,2,Fully,67.95414934325969,False,False,True,False,True,False,False
2024,129200,High,Q2,1,Fully,67.95452814311143,False,False,True,False,True,False,False
2024,265000,Very High,Q4,3,On-site,-32.04686590628813,False,False,True,False,False,False,True
2024,170000,High,Q3,2,On-site,-32.04513581081137,False,False,True,False,False,False,True
2024,190000,High,Q4,3,Fully,67.9544092336361,False,False,True,False,True,False,False
2024,155000,High,Q3,2,Fully,67.9550466372328,False,False,True,False,True,False,False
2024,165000,High,Q3,2,Fully,67.95486452191945,False,False,True,False,True,False,False
2024,100000,High,Q1,0,Fully,67.95604827145618,False,False,True,False,True,False,False
2024,213900,Very High,Q4,3,Fully,67.9534798022223,False,False,True,False,True,False,False
2024,126500,High,Q2,1,Fully,67.95507149006093,False,False,True,False,True,False,False
2024,130000,High,Q2,1,On-site,-32.04440734955799,False,False,True,False,False,False,True
2024,104000,High,Q2,1,On-site,-32.043933849743304,False,False,True,False,False,False,True
2024,225000,Very High,Q4,3,Fully,67.95377183003939,False,False,True,False,True,False,False
2024,66000,Medium,Q1,0,Fully,67.95666746352155,False,False,True,False,True,False,False
2024,220000,Very High,Q4,3,On-site,-32.04604638737809,False,False,True,False,False,False,True
2024,110000,High,Q2,1,On-site,-32.0445372947462,False,False,True,False,False,False,True
2024,85000,Medium,Q1,0,On-site,-32.04408200646284,False,False,True,False,False,False,True
2024,282000,Very High,Q4,3,Fully,67.95273377275333,False,False,True,False,True,False,False
2024,188000,High,Q4,3,Fully,67.95444565669877,False,False,True,False,True,False,False
2024,219650,Very High,Q4,3,Fully,67.9543634375469,False,False,True,False,True,False,False
2024,136000,High,Q2,1,Fully,67.95588683214302,False,False,True,False,True,False,False
2024,210850,Very High,Q4,3,On-site,-32.04587975186638,False,False,True,False,False,False,True
2024,145400,High,Q3,2,On-site,-32.04468780714054,False,False,True,False,False,False,True
2024,143800,High,Q3,2,Fully,67.95475643056885,False,False,True,False,True,False,False
2024,106300,High,Q2,1,Fully,67.95543936299389,False,False,True,False,True,False,False
2024,150000,High,Q3,2,Fully,67.95464351907458,False,False,True,False,True,False,False
